fragment_name,validation_family,requested_angle_degrees,actual_angle_degrees,dft_energy_hartree,gaff2_total_energy_kcal_mol,gaff2_bond_energy_kcal_mol,gaff2_angle_energy_kcal_mol,gaff2_dihedral_energy_kcal_mol,gaff2_improper_energy_kcal_mol,gaff2_coulomb_energy_kcal_mol,gaff2_lj_energy_kcal_mol,point_status,dft_relative_energy_kcal_mol,gaff2_relative_energy_kcal_mol,gaff2_minus_dft_relative_energy_kcal_mol
methyl_n_methyl_carbamate,aliphatic_urethane,-30,-30,-323.824005376,-3.42300713112,0.346180158643,1.00135478319,5.68105199537,0.00137404753741,-14.6974332729,4.24446515707,completed,5.94264507117,5.70885276072,-0.23379231045
methyl_n_methyl_carbamate,aliphatic_urethane,-15,-15,-323.830751809,-7.49463432629,0.346180158643,1.00135478319,1.65645869465,0.00137404753741,-15.0379858737,4.53798386342,completed,1.70919445535,1.63722556556,-0.07196888979
methyl_n_methyl_carbamate,aliphatic_urethane,0,-1.84141661555e-15,-323.833475583,-9.13185989185,0.346180158643,1.00135478319,0.02314379583,0.00137404753741,-15.2076493679,4.7037366909,completed,0,0,0
methyl_n_methyl_carbamate,aliphatic_urethane,15,15,-323.831666326,-7.95222551341,0.346180158643,1.00135478319,1.20050186744,0.00137404753741,-15.1497158038,4.64807943362,completed,1.13532607198,1.17963437844,0.04430830646
methyl_n_methyl_carbamate,aliphatic_urethane,30,30,-323.825770341,-4.26398256239,0.346180158643,1.00135478319,4.88201460003,0.00137404753741,-14.8786422364,4.38373608465,completed,4.8351127776,4.86787732946,0.03276455186
methyl_n_methyl_carbamate,aliphatic_urethane,45,45,-323.817072081,1.02711538179,0.346180158643,1.00135478319,10.1167719506,0.00137404753741,-14.4777347825,4.03916922432,completed,10.2933529265,10.1589752736,-0.1343776529
methyl_n_methyl_carbamate,aliphatic_urethane,60,60,-323.807599362,6.60035910042,0.346180158643,1.00135478319,15.5618451614,0.00137404753741,-14.0654239745,3.75502892414,completed,16.2375739917,15.7322189923,-0.5053549994
methyl_n_methyl_carbamate,aliphatic_urethane,75,75,-323.799908742,11.0391819919,0.346180158643,1.00135478319,19.8380535998,0.00137404753741,-13.7521094249,3.60432882762,completed,21.0635106604,20.1710418837,-0.8924687767
methyl_n_methyl_carbamate,aliphatic_urethane,90,90,-323.796505877,13.2501284592,0.346180158643,1.00135478319,21.8940753349,0.00137404753741,-13.6104102278,3.61755436272,completed,23.1988412619,22.381988351,-0.8168529109
methyl_n_methyl_carbamate,aliphatic_urethane,105,105,-323.7986877,12.8100878779,0.346180158643,1.00135478319,21.2817090259,0.00137404753741,-13.6644330361,3.84390289873,completed,21.8297264396,21.9419477697,0.1122213301
methyl_n_methyl_carbamate,aliphatic_urethane,120,120,-323.805502576,10.1063148937,0.346180158643,1.00135478319,18.2689697271,0.00137404753741,-13.8921436192,4.3805797963,completed,17.5533270494,19.2381747855,1.6848477361
methyl_n_methyl_carbamate,aliphatic_urethane,135,135,-323.814462706,6.21297990275,0.346180158643,1.00135478319,13.7611916775,0.00137404753741,-14.2352922287,5.33817146462,completed,11.9307605907,15.3448397946,3.4140792039
methyl_n_methyl_carbamate,aliphatic_urethane,150,150,-323.822938298,2.51338849607,0.346180158643,1.00135478319,9.05176119661,0.00137404753741,-14.6136572636,6.7263755737,completed,6.61224619645,11.6452483879,5.03300219145
methyl_n_methyl_carbamate,aliphatic_urethane,165,165,-323.828776087,0.181573992797,0.346180158643,1.00135478319,5.46972608081,0.00137404753741,-14.9384614186,8.30140034121,completed,2.94897866549,9.31343388464,6.36445521915
methyl_n_phenyl_carbamate,aromatic_urethane,-180,-180,-515.637065963,3.30820971076,0.142093885255,2.81585142821,4.00254856112,1.00175423512e-11,-51.6861010706,48.0338169068,completed,8.52971922672,40.2465050804,31.7167858537
methyl_n_phenyl_carbamate,aromatic_urethane,-165,-165,-515.637801475,-7.26020967551,0.142093885255,2.81585142821,5.27415120155,1.00190078456e-11,-51.4207155258,35.9284093353,completed,8.06817836954,29.6780856941,21.6099073246
methyl_n_phenyl_carbamate,aromatic_urethane,-150,-150,-515.637523125,-19.4735032805,0.142093885255,2.81585142821,8.73460804234,1.00217167898e-11,-50.7917705558,19.6257139196,completed,8.24284546828,17.4647920892,9.22194662092
methyl_n_phenyl_carbamate,aromatic_urethane,-135,-135,-515.633623538,-21.3035361673,0.142093885255,2.81585142821,13.4167720609,1.00128794145e-11,-50.1015144007,12.4232608589,completed,10.6898731867,15.6347592023,4.9448860156
methyl_n_phenyl_carbamate,aromatic_urethane,-120,-120,-515.627235298,-18.4215068422,0.142093885255,2.81585142821,18.0025570146,1.00185193475e-11,-49.5518939773,10.169884807,completed,14.6985546004,18.5167885274,3.818233927
methyl_n_phenyl_carbamate,aromatic_urethane,-105,-105,-515.621344808,-15.5928791804,0.142093885255,2.81585142821,21.1804452895,1.00138564108e-11,-49.2315897926,9.50032000922,completed,18.3948929092,21.3454161892,2.95052328
methyl_n_phenyl_carbamate,aromatic_urethane,-90,-90,-515.618842339,-14.8960787811,0.142093885255,2.81585142821,22.0025479596,1.00246477786e-11,-49.1717983669,9.31522631276,completed,19.9652158957,22.0422165885,2.0770006928
methyl_n_phenyl_carbamate,aromatic_urethane,-75,-75,-515.62119422,-16.9559853066,0.142093885255,2.81585142821,20.1451587463,1.00128794145e-11,-49.3744481295,9.31535876313,completed,18.4893881787,19.982310063,1.4929218843
methyl_n_phenyl_carbamate,aromatic_urethane,-60,-60,-515.627535661,-21.3940919744,0.142093885255,2.81585142821,16.0025390657,1.00190078456e-11,-49.812795616,9.45821926237,completed,14.5100741664,15.5442033952,1.0341292288
methyl_n_phenyl_carbamate,aromatic_urethane,-45,-45,-515.635737668,-27.0486331117,0.142093885255,2.81585142821,10.5883242106,1.00128794145e-11,-50.4177856224,9.82288298663,completed,9.36323711076,9.8896622579,0.52642514714
methyl_n_phenyl_carbamate,aromatic_urethane,-30,-30,-515.643440608,-32.3149970282,0.142093885255,2.81585142821,5.27048847834,1.00143449089e-11,-51.0628712188,10.5194403989,completed,4.52956891025,4.62329834147,0.09372943122
methyl_n_phenyl_carbamate,aromatic_urethane,-15,-15,-515.648774974,-35.7893986718,0.142093885255,2.81585142821,1.41043753361,1.00138564108e-11,-51.5697206267,11.4119391078,completed,1.18220391318,1.1488966978,-0.03330721538
methyl_n_phenyl_carbamate,aromatic_urethane,0,1.81492994851e-14,-515.650658936,-36.9382953696,0.142093885255,2.81585142821,0.00254856111956,1.00190078456e-11,-51.7638064661,11.8650172218,completed,0,0,0
methyl_n_phenyl_carbamate,aromatic_urethane,15,15,-515.648774947,-35.7893867515,0.142093885255,2.81585142821,1.41044820778,1.00128794145e-11,-51.569716488,11.4119362153,completed,1.18222106713,1.14890861815,-0.03331244898
methyl_n_phenyl_carbamate,aromatic_urethane,30,30,-515.643440381,-32.3149741682,0.142093885255,2.81585142821,5.27050702876,1.00114139201e-11,-51.0628641636,10.5194376533,completed,4.52971150021,4.62332120147,0.09360970126
methyl_n_phenyl_carbamate,aromatic_urethane,45,45,-515.635737665,-27.0486046546,0.142093885255,2.81585142821,10.5883457869,1.0014833407e-11,-50.4177774266,9.82288167161,completed,9.36323894369,9.88969071502,0.52645177133
methyl_n_phenyl_carbamate,aromatic_urethane,60,60,-515.627535505,-21.3940656299,0.142093885255,2.81585142821,16.0025580565,1.00119024182e-11,-49.8127879349,9.45821893512,completed,14.5101717025,15.5442297398,1.0340580373
methyl_n_phenyl_carbamate,aromatic_urethane,75,75,-515.621194357,-16.9559676402,0.142093885255,2.81585142821,20.1451702712,1.0014833407e-11,-49.37444221,9.3153589851,completed,18.4893022031,19.9823277294,1.4930255263
methyl_n_phenyl_carbamate,aromatic_urethane,90,90,-515.618842521,-14.8960733943,0.142093885255,2.81585142821,22.0025491627,1.00165653549e-11,-49.1717950496,9.31522717913,completed,19.9651015616,22.0422219753,2.0771204137
methyl_n_phenyl_carbamate,aromatic_urethane,105,105,-515.621344866,-15.5928856253,0.142093885255,2.81585142821,21.1804360888,1.00119024182e-11,-49.2315895893,9.50032256167,completed,18.3948563605,21.3454097443,2.9505533838
methyl_n_phenyl_carbamate,aromatic_urethane,120,120,-515.627235285,-18.4215182796,0.142093885255,2.81585142821,18.0025401076,1.00231822842e-11,-49.5518970635,10.1698933628,completed,14.6985629499,18.51677709,3.8182141401
methyl_n_phenyl_carbamate,aromatic_urethane,135,135,-515.633623509,-21.3035299133,0.142093885255,2.81585142821,13.4167521861,1.0022693786e-11,-50.1015203827,12.4232929698,completed,10.6898916113,15.6347654563,4.944873845
methyl_n_phenyl_carbamate,aromatic_urethane,150,150,-515.637523252,-19.4734209968,0.142093885255,2.81585142821,8.73459069502,1.00170538531e-11,-50.7917778782,19.6258208729,completed,8.24276596704,17.4648743729,9.22210840586
methyl_n_phenyl_carbamate,aromatic_urethane,165,165,-515.637801397,-7.2600373066,0.142093885255,2.81585142821,5.27414115015,1.00185193475e-11,-51.4207209289,35.9285971586,completed,8.06822722837,29.678258063,21.6100308346
