fragment_name,validation_family,smiles,functional_core,atom_index_zero_based,element,joint_stage1_esp_charge_e,joint_stage1_resp_charge_e,joint_stage2_esp_charge_e,joint_stage2_resp_charge_e,independent_conformer_count,independent_mean_e,independent_sample_std_e,joint_minus_independent_mean_e,absolute_joint_minus_independent_mean_e
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,11,H,0.148191903832,0.133927275618,0.133927275618,0.133927275618,3,0.133866130443,0.00174428330471,6.11451746667e-05,6.11451746667e-05
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,12,H,0.151395328665,0.166382839128,0.166382839128,0.166382839128,3,0.16616640383,0.00379168049774,0.000216435298333,0.000216435298333
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,13,H,0.168458714338,0.136579780562,0.136579780562,0.136579780562,3,0.136793043311,0.00339139689398,-0.000213262748667,0.000213262748667
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,0,C,-0.0959914304637,-0.0522069201643,-0.0552936094911,-0.0484680591058,3,-0.0289847922174,0.0058682215516,-0.0194832668884,0.0194832668884
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,True,1,O,-0.415282983462,-0.40460443737,-0.40460443737,-0.40460443737,3,-0.431542791082,0.00733567270462,0.026938353712,0.026938353712
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,True,2,C,1.05271945413,0.864736747981,0.864736747981,0.864736747981,3,0.888580678068,0.0247669689195,-0.0238439300867,0.0238439300867
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,True,3,O,-0.632317980557,-0.578221471856,-0.578221471856,-0.578221471856,3,-0.596429708772,0.00573972173046,0.0182082369157,0.0182082369157
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,True,4,N,-0.865394693679,-0.502866967526,-0.502866967526,-0.502866967526,3,-0.528850880923,0.0472887811647,0.0259839133973,0.0259839133973
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,5,C,0.644740834182,0.176107110207,0.176107110207,0.176107110207,3,0.176459544321,0.0414559044617,-0.000352434113667,0.000352434113667
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,6,C,-0.439945439739,-0.160977999499,-0.160977999499,-0.160977999499,3,-0.158184525266,0.058560825157,-0.00279347423267,0.00279347423267
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,7,C,-0.0385952570213,-0.193079072408,-0.193079072408,-0.193079072408,3,-0.192875147447,0.0191659074133,-0.000203924961,0.000203924961
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,8,C,-0.256318749784,-0.107509102733,-0.107509102733,-0.107509102733,3,-0.106517177991,0.00137876848083,-0.000991924742333,0.000991924742333
