combination_id,diisocyanate_id,diisocyanate_smiles,diisocyanate_mw_g_mol,macrodiol_proxy_id,macrodiol_proxy_smiles,macrodiol_proxy_monomer_mw_g_mol,chain_extender_id,chain_extender_smiles,chain_extender_mw_g_mol,combination_rule,structure_status,experimental_status,citation_keys
combo_3f569bf2bc6c50de,polyuniverse_dinco_24471fc1c458b69a01cd,O=C=NC1CC(N=C=O)C2CCCc3cccc1c32,254.289,chemical_6364c045bd73da83,Oc1cccc(Oc2ccc(Oc3cccc(O)c3)cc2)c1,294.306,chemical_6ee30a16c1c450ed,OC1CCCCC1O,116.16,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_3f7702e51d19e81f,polyuniverse_dinco_a5809ed0bb50011d11e7,CC(C)c1ncc(F)c(C(C)CC2Cc3c(nc4c(c3N=C=O)CCC4)C2C)c1N=C=O,434.515,chemical_34962dac292231e7,Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,256.345,chemical_7eec20377145fdb7,CC1(C)C(O)C(C)(C)C1O,144.214,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_3fc8a8b611399e81,polyuniverse_dinco_41dd7d9f5ae04dca84b5,O=C=NC1(Cl)CCCCC1(Cl)CC1(Cl)CCCCC1(Cl)N=C=O,400.133,chemical_34962dac292231e7,Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,256.345,chemical_2a0d22152800ae85,Oc1ccc(Oc2ccc(O)cc2)cc1,202.209,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_3fd8e38dace48d74,polyuniverse_dinco_4716b4743a5baa106de3,O=C=Nc1cc2cccc(N=C=O)c2nc1-c1cccc(OC(F)(F)F)c1,371.274,chemical_b94fa835d3f1bdb8,CC(C)(CO)C1OCC2(CO1)COC(C(C)(C)CO)OC2,304.383,chemical_831d24f7368b3f75,Cc1cc(-c2cc(C)c(O)c(C)c2)cc(C)c1O,242.318,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_4047b22327670945,polyuniverse_dinco_3cd70e5831ba4d233e46,CCCCCCC1(CCCCCC)c2cc(N=C=O)ccc2-c2ccc(N=C=O)cc21,416.565,chemical_ff8d497a35fecaa4,OC(C(F)(F)F)(C(F)(F)F)C(O)(C(F)(F)F)C(F)(F)F,334.056,chemical_75fb481cd45cc100,CCCCC(CC)(CO)CO,160.257,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_40b484dc27b1fa4f,polyuniverse_dinco_c1050e20fc33beb7e09a,CC(CCN=C=O)CC(C)C(C)N=C=O,210.277,chemical_5e814be594638bdc,OCCCCCCCCCCCCCCCCO,258.446,chemical_5be20976c2a9d662,Oc1c(F)c(F)c(O)c(F)c1F,182.072,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_40d8ab59266eed87,polyuniverse_dinco_5869c3b07285b5b309da,CC(C)(CC1CCC(C(C)(C)N=C=O)C1)N=C=O,250.342,chemical_e34b1bd2b88ad439,CC(C)(c1ccc(O)c(C2CCCCC2)c1)c1ccc(O)c(C2CCCCC2)c1,392.583,chemical_f25ee56de4366915,O=[N+]([O-])c1cc(CO)ccc1CO,183.163,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_40e408ecbc91a0cf,polyuniverse_dinco_473f746a39152067a95e,O=C=Nc1ccc(OCC(F)(F)C(F)F)c(N=C=O)c1,290.172,chemical_e4aa17432292bb19,Cc1cc2c(cc1O)C(C)(C)CC1(CC(C)(C)c3cc(O)c(C)cc3O1)O2,368.473,chemical_dd2ebb8c8aeed446,Oc1ccc2c(O)cccc2c1,160.172,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_412aa3949422bd11,polyuniverse_dinco_c842b8dc271bd83c79bd,CC1C(C)C(N=C=O)C(C)(C)C(C)C1N=C=O,236.315,chemical_1f862d0fb910ec42,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,268.356,chemical_75fb481cd45cc100,CCCCC(CC)(CO)CO,160.257,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_415c5d3077f7c535,polyuniverse_dinco_b942aa905763bb430945,CCCC1(CC(C)N=C=O)CCC(C)(C(C)(C)CC(C)(C)N=C=O)C1,348.531,chemical_3a566be4d64035e3,Oc1ccc(-c2ccc(O)c(Br)c2)cc1Br,344.002,chemical_831d24f7368b3f75,Cc1cc(-c2cc(C)c(O)c(C)c2)cc(C)c1O,242.318,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_4167cae5d90d15a6,polyuniverse_dinco_e191aa437a5bb122583c,CCC(CC12CCC(C1)C(N=C=O)C2)N=C=O,234.299,chemical_e4aa17432292bb19,Cc1cc2c(cc1O)C(C)(C)CC1(CC(C)(C)c3cc(O)c(C)cc3O1)O2,368.473,chemical_16bdee252ed11d7a,CC(O)C(C)O,90.122,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_417f91e0079e16d6,polyuniverse_dinco_7416e04e1592ed966a70,O=C=NCC1COC(CN=C=O)O1,184.151,chemical_0895e6cd5136df6a,OCCOc1ccc(C2(c3ccc(OCCO)cc3)c3ccccc3-c3ccccc32)cc1,438.523,chemical_72b7ed7d3d268fd7,CC(C)CC(CO)(CO)CC(C)C,188.311,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_41dcb549e3e30f2c,polyuniverse_dinco_e9c64a150258b8ae2353,O=C=NC(F)C(F)(F)C(F)(F)N=C=O,216.065,chemical_1f862d0fb910ec42,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,268.356,chemical_2a0d22152800ae85,Oc1ccc(Oc2ccc(O)cc2)cc1,202.209,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
