fragment_name,validation_family,smiles,atom_index_zero_based,element,functional_core,vdw_point_density,across_seed_count,across_seed_mean_e,across_seed_sample_std_e,across_seed_min_e,across_seed_max_e,across_seed_range_e
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,7,H,False,0.5,3,0.0836958478148,0.00312639345969,0.081864150591,0.087305763988,0.005441613397
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,7,H,False,1,3,0.0773651510351,0.00157927487762,0.0755823575109,0.0785887293389,0.003006371828
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,7,H,False,2,3,0.0683529553032,0.00295934773112,0.0649360848505,0.0700999421265,0.005163857276
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,8,H,False,0.5,3,0.0836958478148,0.00312639345969,0.081864150591,0.087305763988,0.005441613397
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,8,H,False,1,3,0.0773651510351,0.00157927487762,0.0755823575109,0.0785887293389,0.003006371828
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,8,H,False,2,3,0.0683529553032,0.00295934773112,0.0649360848505,0.0700999421265,0.005163857276
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,9,H,False,0.5,3,0.28584375241,0.00523981508251,0.279797205321,0.289054411451,0.00925720613
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,9,H,False,1,3,0.319567261382,0.00537827348491,0.315628155112,0.32569474754,0.010066592428
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,9,H,False,2,3,0.336754638265,0.00133146495949,0.335818306994,0.33827886344,0.002460556446
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,10,H,False,0.5,3,0.0723223464432,0.00371194526529,0.0699336827991,0.0765987639469,0.0066650811478
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,10,H,False,1,3,0.0855071008339,0.0017813105075,0.0835292751552,0.0869851162317,0.0034558410765
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,10,H,False,2,3,0.089382044777,0.00485407958945,0.0842215795499,0.0938568189289,0.009635239379
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,11,H,False,0.5,3,0.0723223464432,0.00371194526529,0.0699336827991,0.0765987639469,0.0066650811478
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,11,H,False,1,3,0.0855071008339,0.0017813105075,0.0835292751552,0.0869851162317,0.0034558410765
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,11,H,False,2,3,0.089382044777,0.00485407958945,0.0842215795499,0.0938568189289,0.009635239379
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,12,H,False,0.5,3,0.0723223464432,0.00371194526529,0.0699336827991,0.0765987639469,0.0066650811478
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,12,H,False,1,3,0.0855071008339,0.0017813105075,0.0835292751552,0.0869851162317,0.0034558410765
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,12,H,False,2,3,0.089382044777,0.00485407958945,0.0842215795499,0.0938568189289,0.009635239379
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,0,C,False,0.5,3,-0.0261813253228,0.0159984526259,-0.0444219190605,-0.014529024999,0.0298928940615
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,0,C,False,1,3,-0.0289847922174,0.0058682215516,-0.0346744941149,-0.0229530158825,0.0117214782324
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,0,C,False,2,3,-0.0251450502475,0.0101152804832,-0.0367850903869,-0.0184877736939,0.018297316693
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,1,O,True,0.5,3,-0.384651667299,0.0069072994482,-0.391097774958,-0.377360867447,0.013736907511
