evaluation_id,evaluation_scheme,held_out_source_family,training_mode,model_name,target_name,unit,evaluation_split,aggregation_level,n_rows,n_groups,mae,rmse,r2,spearman,selected_alpha,evidence_scope,target_semantics,status
development::bulk_modulus::Pa::primary_only,published_development_split,,primary_only,weighted_mean,bulk_modulus,Pa,validation,hard_group_macro,347,328,514062536.879,646493669.597,-0.0114010901038,0.022335144147,,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_only,published_development_split,,primary_only,weighted_mean,bulk_modulus,Pa,validation,row_weighted,347,328,517559052.843,653870861.509,-0.0130057042826,,,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,bulk_modulus,Pa,test,hard_group_macro,351,332,417831461.368,538726371.421,0.225737602183,0.482208491385,10,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,bulk_modulus,Pa,test,row_weighted,351,332,419496755.464,547762026.433,0.203365441836,0.45858500298,10,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,bulk_modulus,Pa,validation,hard_group_macro,347,328,404911272.247,544037100.934,0.28377100353,0.585084697404,10,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,bulk_modulus,Pa,validation,row_weighted,347,328,411898005.713,557185177.686,0.264424879155,0.571582126034,10,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,bulk_modulus,Pa,test,hard_group_macro,351,332,485645768.289,613141410.504,-0.00293547853531,0.0268056582969,,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,bulk_modulus,Pa,test,row_weighted,351,332,482960310.416,614491815.512,-0.00255337859929,,,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,bulk_modulus,Pa,validation,hard_group_macro,347,328,513824818.941,643019010.192,-0.000558507953955,0.0224750120093,,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,bulk_modulus,Pa,validation,row_weighted,347,328,516796128.042,649987693.353,-0.00100947934,,,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,density,g/cm^3,test,hard_group_macro,351,332,0.0206282355751,0.0283141560094,0.817541636819,0.908701665272,10,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,density,g/cm^3,test,row_weighted,351,332,0.0204532645705,0.0280046426114,0.823575593771,0.913965396073,10,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,density,g/cm^3,validation,hard_group_macro,347,328,0.0215042947386,0.0341444946274,0.760638929693,0.906748051397,10,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,density,g/cm^3,validation,row_weighted,347,328,0.0222066190847,0.0348078062948,0.760593005268,0.907306240479,10,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_only,published_development_split,,primary_only,weighted_mean,density,g/cm^3,test,hard_group_macro,351,332,0.0539381240243,0.0662859889952,-3.21656636881e-08,0.0748429718705,,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_only,published_development_split,,primary_only,weighted_mean,density,g/cm^3,test,row_weighted,351,332,0.0546312243596,0.0666781466861,-0.000151142482203,,,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_only,published_development_split,,primary_only,weighted_mean,density,g/cm^3,validation,hard_group_macro,347,328,0.0556033220415,0.0697976356075,-0.00021545824045,0.124911361711,,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_only,published_development_split,,primary_only,weighted_mean,density,g/cm^3,validation,row_weighted,347,328,0.0567291185039,0.0711530211082,-0.000392016909911,,,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,density,g/cm^3,test,hard_group_macro,351,332,0.0206828394629,0.0278832443141,0.823053025504,0.910800040334,10,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,density,g/cm^3,test,row_weighted,351,332,0.0204229069976,0.0275553742708,0.829190813814,0.916176266091,10,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,density,g/cm^3,validation,hard_group_macro,347,328,0.0202075908881,0.0294984195855,0.821347278091,0.924398866456,10,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,density,g/cm^3,validation,row_weighted,347,328,0.0205914929793,0.0300677772122,0.821356929207,0.926790544041,10,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,density,g/cm^3,test,hard_group_macro,351,332,0.0539990753861,0.066493843392,-0.00628130799496,0.0748429718705,,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,density,g/cm^3,test,row_weighted,351,332,0.0546291130876,0.0668195828196,-0.00439863722068,,,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,density,g/cm^3,validation,hard_group_macro,347,328,0.0557047379159,0.0699174160697,-0.00365136460853,0.124911361711,,computational_transfer_baseline,published_computational_target,evaluated
development::density::g/cm^3::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,density,g/cm^3,validation,row_weighted,347,328,0.0569243362879,0.0714492291099,-0.00873856102129,,,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,thermal_conductivity,W/(m*K),test,hard_group_macro,263,252,0.0136846022475,0.0174969604514,0.535551838195,0.753502366781,10,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,thermal_conductivity,W/(m*K),test,row_weighted,263,252,0.0140239089989,0.0179715872778,0.562314254059,0.779644575589,10,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,thermal_conductivity,W/(m*K),validation,hard_group_macro,255,245,0.013224305077,0.0176564916779,0.567034331762,0.780954378212,10,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,thermal_conductivity,W/(m*K),validation,row_weighted,255,245,0.0130446161001,0.0174724120288,0.566370718005,0.775320492361,10,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_only,published_development_split,,primary_only,weighted_mean,thermal_conductivity,W/(m*K),test,hard_group_macro,263,252,0.0201771386283,0.0256741689765,-1.1094931615e-05,,,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_only,published_development_split,,primary_only,weighted_mean,thermal_conductivity,W/(m*K),test,row_weighted,263,252,0.0211174220292,0.0272057202015,-0.00302090564518,,,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_only,published_development_split,,primary_only,weighted_mean,thermal_conductivity,W/(m*K),validation,hard_group_macro,255,245,0.0208069190935,0.0268356278375,-0.00015694079311,0.00962058056275,,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_only,published_development_split,,primary_only,weighted_mean,thermal_conductivity,W/(m*K),validation,row_weighted,255,245,0.020460418086,0.0265366021654,-0.000238354072398,,,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,thermal_conductivity,W/(m*K),test,hard_group_macro,263,252,0.013700218344,0.0173175783218,0.545026241105,0.756266391714,10,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,thermal_conductivity,W/(m*K),test,row_weighted,263,252,0.0140924084561,0.0179156989752,0.565032264177,0.780653213661,10,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,thermal_conductivity,W/(m*K),validation,hard_group_macro,255,245,0.0130538556399,0.0171289149219,0.592521839445,0.778536567852,10,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_plus_aux,published_development_split,,primary_plus_aux,morgan_weighted_ridge,thermal_conductivity,W/(m*K),validation,row_weighted,255,245,0.0131240587665,0.0171431263519,0.582561089259,0.757488647546,10,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,thermal_conductivity,W/(m*K),test,hard_group_macro,263,252,0.0204487861279,0.0260403101978,-0.0287369396867,,,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,thermal_conductivity,W/(m*K),test,row_weighted,263,252,0.0212795481481,0.0273238616715,-0.0117511031354,,,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,thermal_conductivity,W/(m*K),validation,hard_group_macro,255,245,0.0209633461703,0.0271451863275,-0.0233643565507,,,computational_transfer_baseline,published_computational_target,evaluated
development::thermal_conductivity::W/(m*K)::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,thermal_conductivity,W/(m*K),validation,row_weighted,255,245,0.0205949914648,0.0268374602942,-0.0230472826772,,,computational_transfer_baseline,published_computational_target,evaluated
pue643::logEB,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logEB,published_log_transform_unit_unresolved,test,hard_group_macro,62,62,0.14647275018,0.189616169081,0.479148764635,0.63825232959,10,within_source_smoke_test,transformed_target_only,evaluated
pue643::logEB,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logEB,published_log_transform_unit_unresolved,test,row_weighted,62,62,0.14647275018,0.189616169081,0.479148764635,0.63825232959,10,within_source_smoke_test,transformed_target_only,evaluated
pue643::logEB,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logEB,published_log_transform_unit_unresolved,validation,hard_group_macro,61,61,0.132439036656,0.184469776138,0.438006458181,0.680980459795,10,within_source_smoke_test,transformed_target_only,evaluated
pue643::logEB,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logEB,published_log_transform_unit_unresolved,validation,row_weighted,61,61,0.132439036656,0.184469776138,0.438006458181,0.680980459795,10,within_source_smoke_test,transformed_target_only,evaluated
pue643::logEB,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logEB,published_log_transform_unit_unresolved,test,hard_group_macro,62,62,0.199671354118,0.266073995807,-0.0255759452821,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logEB,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logEB,published_log_transform_unit_unresolved,test,row_weighted,62,62,0.199671354118,0.266073995807,-0.0255759452821,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logEB,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logEB,published_log_transform_unit_unresolved,validation,hard_group_macro,61,61,0.204179086207,0.246471737379,-0.00326378632048,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logEB,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logEB,published_log_transform_unit_unresolved,validation,row_weighted,61,61,0.204179086207,0.246471737379,-0.00326378632048,,,within_source_smoke_test,transformed_target_only,evaluated
